tag;question;ans_1;ans_2;ans_3;ans_4;timer;ans_correct
DNR;Kuri iš išvardintų DNR sekų yra komplimentari sekai: 5'-ACG-3'?;5'-CGT-3';5'-TGC-3';5'-GTA-3';5'-ATG-3';90;1
DNR;Kokia organelė atsakinga už rRNR sintezę?;Branduolėlis;Ribosoma;Šiurkštusis endoplazminis tinklas;Branduolys;90;1
DNR;Koks fermentas yra būtinas vykdant polimerazės grandininę reakciją?;Taq polimerazė;Girazė;DNR ligazė;Topoizomerazė;90;1
DNR;Kuris iš įtariamojo ėminių būtų tinkamas ištirti jo genomą?;Nago nuokarpa;Žarnyno bakterijos;Trombocitai;Eritrocitai;90;1
DNR;Kaip vadinama žiedinė DNR randama bakterijose?;Plazmidės;Satelitai;Transportinė DNR;Mitochondrinė DNR;90;1
DNR;Kokio proceso metu eukariotuose yra sintetinama RNR?;Transkripcijos;Transliacijos;Replikacijos;Duplikacijos;90;1
DNR;Dvigrandėje DNR sekoje nustatėte, jog 21% nukleotidų yra adeninas. Kiek sekoje yra timino?;21%;79%;29%;42%;90;1
DNR;Dvigrandėje DNR sekoje nustatėte, jog 21% nukleotidų yra adeninas. Kiek sekoje yra guanino?;29%;79%;21%;42%;90;1
DNR;Kuri iš šių sekų turėtų aukščiausią lydimo tašką suporavus su komplementaria seka?;5’-CGCGCGCG-3’;5’-AAAAAAAA-3’;5’-TTTTGGGG-3’;5’-TATATATA-3’;90;1
DNR;Kuris iš šių baltymų asocijuojasi su DNR branduolyje?;Histonai;Albuminas;Citochromai;Miozinas;90;1
Fiziologija;Kuris organas tiesiogiai kontaktuoja su atmosferos oru?;Plaučiai;Širdis;Smegenys;Kepenys;90;1
Botanika;Kaip vaisiai prisidėjo prie gaubtasėklių plitimo?;Palengvindami sėklų sklidimą;Maitindami sėklas;Pritraukdami vabzdžius;Sukurdami triploidines ląsteles;90;1
Botanika;Kurios augalų grupės gametofitas ir sporofitas yra nepriklausomi vienas nuo kito?;Asiūkliniai;Samanūnai;Magnolijūnai;Pušūnai;90;1
Botanika;Vidutinių platumų augalo žiotelės paprastai būna praviros, kai...;...augalui reikia CO2;…sumažėja dirvos pH.;...pučia stiprus vėjas.;...dirva yra sausa.;90;1
Botanika;Kuri apvaisinta ląstelė sėklapradyje formuoja sėklos embrioną?;Kiaušialąstė;Sinergidė;Antipodė;Centrinė ląstelė;90;1
Fiziologija;Koks hormonas skatina eritrocitų gamybą?;Eritropoetinas;Kortizolis;Paratiroidinis hormonas;Epinefrinas;90;1
Fiziologija;Kuris iš šių organų sunyksta žmogui subrendus?;Užkrūčio liauka;Skydliaukė;Protiniai dantys;Smegenų žievė;90;1
Fiziologija;Paciento pH sumažėjo iki 7,25. Kas nutiks pacientui?;Kvėpuos greičiau -> bikarbonato koncentracija sumažės.;Kvėpuos greičiau -> bikarbonato koncentracija padidės;Kvėpuos lėčiau -> bikarbonato koncentracija padidės;Kvėpuos lėčiau -> bikarbonato koncentracija sumažės;90;1
Citologija;Kurioje mitochondrijos vietoje pH yra mažiausias?;Tarpmembraniniame tarpe;Už mitochondrijos ribų;Mitochondrijos matrikse;pH visur vienodas;90;1
Fiziologija;Kuris iš šių hormonų slopina diurezę ir skatina skysčių reabsorbciją inkstuose?;Aldosteronas;Epinefrinas;Kortizolis;Kalcitoninas;90;1
Biosistematika;Koks taksonominis vienetas eina po genties?;Rūšis;Karalystė;Šeima;Būrys;90;1
Citologija;Kokioje organelėje vyksta ATP sintezė?;Mitochondrijoje;Branduolyje;Goldžio komplekse;Šiurkščiajame endoplazminiame tinkle;90;1
Citologija;Iš kokios makromolekulės klasės dažniausiai sudaryta ląstelės sienelė?;Angliavandenių;Riebalų;Baltymų;Fosfolipidų;90;1
Fiziologija;Kokia tulžies funkcija?;Padidinti riebalų paviršiaus plotą;Skaidyti riebalus;Skaidyti angliavandenius;Apsaugoti fermentus nuo denatūracijos;90;1
Fiziologija;Kokių medžiagų pradės trūkti žmogui, kuris vengs vartoti maistą su riebalais?;Kai kurių vitaminų;Mineralų;Angliavandenių;Baltymų;90;1
Botanika;Kokia auksino funkcija?;Skatinti stiebo tįsimą;Skatinti užsiversti žioteles;Skatinti žydėjimą;Skatinti sėklų dygimą;90;1
Botanika;Kokiai augalų klasei būdingas indų kulelių išsidėstymas ratu?;Dviskilčiai;Samanūnai;Sporiniai induočiai;Vienskilčiai;90;1
Fiziologija;Kuri antikūnų klasė gali praeiti pro placentą?;IgG;IgM;IgA;IgE;90;1
Fiziologija;Kuri antikūnų klasė yra susijusi su alerginėmis reakcijomis?;IgE;IgG;IgM;IgA;90;1
Fiziologija;Kaip vadinamos antikūnus sintetinančios ląstelės?;Plazminės ląstelės;T limfocitai;Makrofagai;Neutrofilai;90;1
Fiziologija;Jeigu skirtume vaisto, kuris sutraukia lygiuosius raumenis, kurios kraujagyslės sureaguotų?;Arterijos;Kapiliarai;Venos;Vaistą reikėtų suleisti, jog jis veiktų;90;1
Fiziologija;Kokie simptomai tikėtini žmogui, kuriam trūksta vitamino C?;Skausmingi sąnariai ir raumenys;Dažni peršalimai;Aukštas kraujo spaudimas;Suprastėjusi rega;90;1
